seed,method,lam,tv,iou_true,iou_distractor,acc,f1
1,l0,2.0,0.05,0.8448275862068966,0.005780346820809248,0.55,0.21052631578947367
1,stg,2.0,0.05,0.8448275862068966,0.07407407407407407,0.55,0.08163265306122448
1,l0,4.0,0.05,0.8448275862068966,0.0,0.53,0.11320754716981132
1,stg,4.0,0.05,0.8448275862068966,0.0,0.6,0.0
1,ours,0.02,0.05,0.7540983606557377,0.0,0.59,0.3492063492063492
1,ours,0.05,0.05,0.8135593220338984,0.0,0.62,0.42424242424242425
1,ours,0.1,0.05,0.8135593220338984,0.0,0.62,0.42424242424242425
1,ours,0.3,0.05,0.8448275862068966,0.0,0.6,0.3548387096774194
2,l0,0.25,0.0,0.6090225563909775,0.0,0.6,0.4444444444444444
2,stg,0.25,0.0,0.5285714285714286,0.0,0.54,0.28125
2,l0,0.5,0.0,0.7540983606557377,0.0,0.59,0.4057971014492754
2,stg,0.5,0.0,0.712,0.0,0.54,0.28125
2,l0,1.0,0.0,0.7398373983739838,0.0,0.58,0.38235294117647056
2,stg,1.0,0.0,0.8290598290598291,0.005780346820809248,0.52,0.22580645161290322
2,l0,2.0,0.0,0.768595041322314,0.0,0.61,0.4507042253521127
2,stg,2.0,0.0,0.8448275862068966,0.017543859649122806,0.54,0.14814814814814814
2,l0,4.0,0.0,0.8290598290598291,0.011627906976744186,0.58,0.36363636363636365
2,stg,4.0,0.0,0.8448275862068966,0.023529411764705882,0.51,0.0
2,ours,0.02,0.0,0.25882352941176473,0.0,0.61,0.4657534246575342
2,ours,0.05,0.0,0.32098765432098764,0.0,0.65,0.5569620253164557
2,ours,0.1,0.0,0.3048780487804878,0.0,0.6,0.4444444444444444
2,ours,0.3,0.0,0.4861111111111111,0.0,0.6,0.4594594594594595
2,l0,0.25,0.05,0.8135593220338984,0.0,0.6,0.4117647058823529
2,stg,0.25,0.05,0.8290598290598291,0.0,0.58,0.38235294117647056
2,l0,0.5,0.05,0.8448275862068966,0.0,0.58,0.36363636363636365
2,stg,0.5,0.05,0.8448275862068966,0.0,0.53,0.22950819672131148
2,l0,1.0,0.05,0.8448275862068966,0.0,0.57,0.3384615384615385
2,stg,1.0,0.05,0.8448275862068966,0.0,0.52,0.1724137931034483
2,l0,2.0,0.05,0.8448275862068966,0.041916167664670656,0.57,0.3384615384615385
2,stg,2.0,0.05,0.8448275862068966,0.005780346820809248,0.51,0.0
2,l0,4.0,0.05,0.8448275862068966,0.023529411764705882,0.58,0.36363636363636365
2,stg,4.0,0.05,0.8448275862068966,0.017543859649122806,0.51,0.0
2,ours,0.02,0.05,0.39869281045751637,0.0,0.62,0.4864864864864865
2,ours,0.05,0.05,0.5070422535211268,0.0,0.62,0.5
2,ours,0.1,0.05,0.5507246376811594,0.0,0.63,0.5194805194805194
2,ours,0.3,0.05,0.6090225563909775,0.0,0.59,0.4057971014492754
3,l0,0.25,0.0,0.7983193277310925,0.0,0.63,0.3018867924528302
3,stg,0.25,0.0,0.7540983606557377,0.005780346820809248,0.68,0.4482758620689655
3,l0,0.5,0.0,0.8290598290598291,0.0,0.64,0.3333333333333333
3,stg,0.5,0.0,0.8290598290598291,0.011627906976744186,0.65,0.36363636363636365
3,l0,1.0,0.0,0.8290598290598291,0.029585798816568046,0.7,0.53125
3,stg,1.0,0.0,0.8448275862068966,0.0,0.6,0.16666666666666666
3,l0,2.0,0.0,0.8448275862068966,0.0,0.63,0.3018867924528302
3,stg,2.0,0.0,0.8448275862068966,0.06097560975609756,0.64,0.3076923076923077
3,l0,4.0,0.0,0.8448275862068966,0.0,0.67,0.42105263157894735
3,stg,4.0,0.0,0.8448275862068966,0.017543859649122806,0.64,0.0
3,ours,0.02,0.0,0.25146198830409355,0.0,0.72,0.5483870967741935
3,ours,0.05,0.0,0.38064516129032255,0.0,0.73,0.5714285714285714
3,ours,0.1,0.0,0.5285714285714286,0.023529411764705882,0.69,0.4745762711864407
3,ours,0.3,0.0,0.5851851851851851,0.0,0.74,0.59375
3,l0,0.25,0.05,0.8448275862068966,0.0,0.67,0.42105263157894735
