seed,method,iou_causal,iou_spurious,mass_causal,mass_spurious,acc,f1
9,stg_gate,0.4266666666666667,0.4224137931034483,0.1560875274551129,0.15365928030135464,0.74,0.6285714285714286
9,spatial_attn,0.5507246376811594,0.32,0.09585829132821332,0.04812681026330447,0.76,0.7142857142857143
9,ours_TV,0.028846153846153848,0.4224137931034483,0.10610449504401548,0.11452619611899564,0.73,0.6966292134831461
10,saliency,0.0,0.0,0.08069683138994439,0.03941966358503087,0.79,0.7741935483870968
10,integrated_grad,0.6589147286821705,0.23134328358208955,0.1483398763759588,0.0698340618595204,0.79,0.7741935483870968
10,grad_cam,0.6090225563909775,0.2692307692307692,0.4038564291089312,0.181818857317395,0.79,0.7741935483870968
10,gradient_shap,0.6461538461538462,0.24060150375939848,0.1483655791015481,0.06996146783431556,0.79,0.7741935483870968
10,l0_gate,0.3128834355828221,0.4224137931034483,0.09030424851298362,0.05604903856115575,0.76,0.7446808510638298
10,stg_gate,0.41721854304635764,0.4224137931034483,0.15974648343170855,0.15769115901175848,0.74,0.6904761904761905
10,spatial_attn,0.5070422535211268,0.36363636363636365,0.0887624304811642,0.044520190667588645,0.76,0.7272727272727273
10,ours_TV,0.01904761904761905,0.4224137931034483,0.10605739644842294,0.11351225073778783,0.76,0.7446808510638298
11,saliency,0.028846153846153848,0.0,0.08939092440432593,0.04148087267031583,0.76,0.7391304347826086
11,integrated_grad,0.8290598290598291,0.13013698630136986,0.1782140184849176,0.07287398514569483,0.76,0.7391304347826086
11,grad_cam,0.6589147286821705,0.23134328358208955,0.43639739829684737,0.1574188638498565,0.76,0.7391304347826086
11,gradient_shap,0.8135593220338984,0.13793103448275862,0.1774458582467727,0.07268380252253741,0.76,0.7391304347826086
11,l0_gate,0.3630573248407643,0.4224137931034483,0.09415511874226158,0.05443857144763156,0.69,0.6265060240963856
11,stg_gate,0.41721854304635764,0.4224137931034483,0.1812885002151757,0.14013227750992158,0.66,0.5526315789473685
11,spatial_attn,0.5735294117647058,0.2992125984251969,0.09004437735791611,0.04502514492130291,0.77,0.7526881720430108
11,ours_TV,0.07,0.4224137931034483,0.1236009903543945,0.11279910925712629,0.71,0.6506024096385542
12,saliency,0.054187192118226604,0.0,0.08919300791711432,0.041998119004131335,0.74,0.6976744186046512
12,integrated_grad,0.7983193277310925,0.14583333333333334,0.17398539405159463,0.07606510651383333,0.74,0.6976744186046512
12,grad_cam,0.6090225563909775,0.2692307692307692,0.42895855855530934,0.17382531677923527,0.74,0.6976744186046512
12,gradient_shap,0.7983193277310925,0.14583333333333334,0.17449906709173327,0.07530906512507045,0.74,0.6976744186046512
12,l0_gate,0.5285714285714286,0.2992125984251969,0.09831817431207675,0.0492783194765676,0.66,0.5526315789473685
12,stg_gate,0.5620437956204379,0.27906976744186046,0.2162537295166431,0.10815778538423201,0.71,0.6506024096385542
12,spatial_attn,0.5507246376811594,0.32,0.08903766184878413,0.044618469990469985,0.74,0.6976744186046512
12,ours_TV,0.22285714285714286,0.2992125984251969,0.162901520279193,0.09622285568003533,0.77,0.7472527472527473
13,saliency,0.08629441624365482,0.08552631578947369,0.09337901661147903,0.046967471683689706,0.79,0.7529411764705882
13,integrated_grad,0.8448275862068966,0.12244897959183673,0.19709766859108727,0.07332559835785087,0.79,0.7529411764705882
13,grad_cam,0.7258064516129032,0.18705035971223022,0.4687140328238011,0.14853329656454559,0.79,0.7529411764705882
13,gradient_shap,0.8448275862068966,0.12244897959183673,0.19718047847823017,0.07310397948454232,0.79,0.7529411764705882
13,l0_gate,0.35443037974683544,0.4224137931034483,0.09585308303959132,0.053095658526773684,0.73,0.6493506493506493
13,stg_gate,0.3128834355828221,0.4224137931034483,0.16642213019719376,0.13231673475563624,0.76,0.7
13,spatial_attn,0.6461538461538462,0.24060150375939848,0.0951683008903818,0.0471594052899465,0.77,0.7228915662650602
13,ours_TV,0.12041884816753927,0.3983050847457627,0.13058702809787273,0.10258197485540663,0.77,0.7294117647058823
14,saliency,0.20224719101123595,0.0,0.09545202381284769,0.042594417382755066,0.74,0.6829268292682927
14,integrated_grad,0.6212121212121212,0.2595419847328244,0.17887314863601697,0.08483206373629419,0.74,0.6829268292682927
14,grad_cam,0.5735294117647058,0.2992125984251969,0.47854425647836923,0.22541061449653857,0.74,0.6829268292682927
14,gradient_shap,0.6335877862595419,0.25,0.17854170426585342,0.08421011649064807,0.74,0.6829268292682927
